day,location,flower_id,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized,var,rep,total_cbd,total_thc,total_cbg,total_c,total_thc_next_day
4,lab,47,641,1156,58,0.3456,0.6232,0.0313,616,616-3,0.28550141094033,13.97553721645,0.8049061757835901,15.06594480317392,
4,lab,46,1478,2284,144,0.3784,0.5847,0.0369,1416-3,1416-3-1,0.3299365306827,13.412145913060002,0.89714471347215,14.639227157214851,
5,greenhouse,75,941,1157,42,0.4397,0.5407,0.0196,616,616-8,0.17665436782548,15.025219909015856,0.6685126746300001,15.870386951471335,15.025219909015856
5,greenhouse,74,894,1577,99,0.3479,0.6136,0.0385,1416-3,1416-3-7,0.33825180890735995,15.590204228467176,0.97924524820155,16.907701285576085,15.590204228467176
5,greenhouse,73,209,1311,125,0.1271,0.797,0.076,805-12,805-12-6,12.610833819327722,4.345028488378903,0.7372721224903501,17.693134430196974,4.345028488378903
5,greenhouse,72,917,909,67,0.4844,0.4802,0.0354,616,616-6,0.22901678743932,17.17017903612675,0.9076219947019801,18.30681781826805,17.17017903612675
5,greenhouse,71,79,449,31,0.1413,0.8032,0.0555,1416-3,1416-3-5,0.19864917762966,13.707006106896895,0.6679991756936701,14.573654460220224,13.707006106896895
5,greenhouse,70,449,1344,73,0.2406,0.7203,0.0391,805-12,805-12-4,12.95290759667103,4.328351570182,0.78021004349088,18.06146921034391,4.328351570182
5,greenhouse,69,318,742,48,0.287,0.6697,0.0433,1416-3,1416-3-3,0.26501967666702,15.295088697080834,0.85551690947877,16.415625283226625,15.295088697080834
5,greenhouse,68,246,580,30,0.2874,0.6776,0.035,1416-3,1416-3-2,0.30253465792025996,14.278779118936056,0.8210063487368701,15.402320125593185,14.278779118936056
5,greenhouse,67,140,1144,63,0.1039,0.8493,0.0468,805-12,805-12-1,14.29977499098831,4.37978298802,1.05991070665194,19.73946868566025,4.37978298802
5,greenhouse,66,105,1237,166,0.0696,0.8203,0.1101,805-12,805-12-7,12.822887170985219,4.320538870027,0.6904040222754001,17.833830063287618,4.320538870027
5,greenhouse,65,284,700,75,0.2682,0.661,0.0708,1416-3,1416-3-6,0.17216381177046,13.563953409291402,0.7630731631793701,14.499190384241233,13.563953409291402
5,greenhouse,64,217,773,100,0.1991,0.7092,0.0917,616,616-5,0.26911774935486,16.14690731746041,0.9136181486130299,17.329643215428298,16.14690731746041
5,greenhouse,63,146,938,96,0.1237,0.7949,0.0814,805-12,805-12-3,14.329304594321489,4.360733473666,0.74046681364824,19.430504881635727,4.360733473666
5,greenhouse,62,272,844,46,0.2341,0.7263,0.0396,616,616-2,0.22038456578777998,16.68237593791,0.88750387792467,17.790264381622446,16.68237593791
5,greenhouse,61,269,912,69,0.2152,0.7296,0.0552,616,616-1,0.28707986539367997,16.462270649713027,0.9461470015630801,17.695497516669786,16.462270649713027
5,lab,75,1308,1794,90,0.4098,0.562,0.0282,616,616-8,0.17665436782548,15.025219909015856,0.6685126746300001,15.870386951471335,
5,lab,74,1307,2363,137,0.3433,0.6207,0.036,1416-3,1416-3-7,0.33825180890735995,15.590204228467176,0.97924524820155,16.907701285576085,
5,lab,73,523,1373,255,0.2431,0.6383,0.1185,805-12,805-12-6,12.610833819327722,4.345028488378903,0.7372721224903501,17.693134430196974,
5,lab,72,1263,1999,108,0.3748,0.5932,0.032,616,616-6,0.22901678743932,17.17017903612675,0.9076219947019801,18.30681781826805,
5,lab,71,730,1959,158,0.2564,0.6881,0.0555,1416-3,1416-3-5,0.19864917762966,13.707006106896895,0.6679991756936701,14.573654460220224,
5,lab,70,1571,2302,261,0.38,0.5568,0.0631,805-12,805-12-4,12.95290759667103,4.328351570182,0.78021004349088,18.06146921034391,
5,lab,69,1359,3309,235,0.2772,0.6749,0.0479,1416-3,1416-3-3,0.26501967666702,15.295088697080834,0.85551690947877,16.415625283226625,
5,lab,68,497,1437,101,0.2442,0.7061,0.0496,1416-3,1416-3-2,0.30253465792025996,14.278779118936056,0.8210063487368701,15.402320125593185,
5,lab,67,389,666,68,0.3464,0.5931,0.0606,805-12,805-12-1,14.29977499098831,4.37978298802,1.05991070665194,19.73946868566025,
