day,location,number,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized
day_8_2025_01_09,greenhouse,115,1170,3229,395,0.2441,0.6736,0.0824
day_8_2025_01_09,greenhouse,114,349,3419,683,0.0784,0.7681,0.1534
day_8_2025_01_09,greenhouse,113,284,2352,608,0.0875,0.725,0.1874
day_8_2025_01_09,greenhouse,112,366,4336,1690,0.0573,0.6783,0.2644
day_8_2025_01_09,greenhouse,111,1494,5495,1080,0.1852,0.681,0.1338
day_8_2025_01_09,greenhouse,110,415,2988,466,0.1073,0.7723,0.1204
day_8_2025_01_09,greenhouse,109,373,3488,980,0.0771,0.7205,0.2024
day_8_2025_01_09,greenhouse,108,262,2126,351,0.0957,0.7762,0.1281
day_8_2025_01_09,greenhouse,107,1458,5280,518,0.2009,0.7277,0.0714
day_8_2025_01_09,greenhouse,106,420,2428,359,0.131,0.7571,0.1119
day_8_2025_01_09,lab,120,878,2222,1845,0.1776,0.4493,0.3731
day_8_2025_01_09,lab,119,1221,2634,293,0.2944,0.635,0.0706
day_8_2025_01_09,lab,118,1020,2832,1139,0.2044,0.5674,0.2282
day_8_2025_01_09,lab,117,1167,2813,237,0.2767,0.6671,0.0562
day_8_2025_01_09,lab,116,812,1911,244,0.2737,0.6441,0.0822
day_8_2025_01_09,lab,115,932,1920,392,0.2873,0.5919,0.1208
day_8_2025_01_09,lab,114,1069,2289,800,0.2571,0.5505,0.1924
day_8_2025_01_09,lab,113,534,2678,492,0.1442,0.723,0.1328
day_8_2025_01_09,lab,112,666,2063,1007,0.1783,0.5522,0.2695
day_8_2025_01_09,lab,111,813,2653,425,0.2089,0.6818,0.1092
day_8_2025_01_09,lab,110,532,1482,215,0.2387,0.6649,0.0965
day_8_2025_01_09,lab,109,372,1767,607,0.1355,0.6435,0.221
day_8_2025_01_09,lab,108,480,1862,276,0.1833,0.7112,0.1054
day_8_2025_01_09,lab,107,1309,2806,276,0.2981,0.639,0.0629
day_8_2025_01_09,lab,106,1149,4654,468,0.1832,0.7421,0.0746
day_9_2025_01_16,greenhouse,150,422,2943,1135,0.0938,0.654,0.2522
day_9_2025_01_16,greenhouse,149,1409,3925,276,0.2512,0.6996,0.0492
day_9_2025_01_16,greenhouse,148,865,4758,1547,0.1206,0.6636,0.2158
day_9_2025_01_16,greenhouse,147,1585,3683,277,0.2858,0.6642,0.05
day_9_2025_01_16,greenhouse,146,644,3724,511,0.132,0.7633,0.1047
day_9_2025_01_16,greenhouse,145,496,3680,1491,0.0875,0.6494,0.2631
day_9_2025_01_16,greenhouse,144,384,2514,276,0.121,0.7921,0.087
day_9_2025_01_16,greenhouse,143,476,2918,775,0.1142,0.6999,0.1859
day_9_2025_01_16,greenhouse,142,1124,4087,648,0.1918,0.6976,0.1106
day_9_2025_01_16,greenhouse,141,480,3163,443,0.1175,0.7741,0.1084
day_9_2025_01_16,greenhouse,140,577,4881,1448,0.0836,0.7068,0.2097
day_9_2025_01_16,greenhouse,139,1581,4702,299,0.2402,0.7144,0.0454
