Variety,Rep,Inf. Code,DAF,"Visual amber ratio
(%)",Fresh weight (gr),Dry weight (gr),Total CBD,Total THC,Total CBG,Total THCV,Total CBDV,Total CBGV,Total CBC,Total Cannabinoids,location,number,G-clear_count,G-cloudy_count,G-amber_count,G-clear_normalized,G-cloudy_normalized,G-amber_normalized,day_number,flower_index,Plant_id,VARIETY,location,number,L-clear_count,L-cloudy_count,L-amber_count,L-clear_normalized,L-cloudy_normalized,L-amber_normalized,day_number,flower_index,Plant_id
611,5,65,58,0,18.55,4.35,0.09,16.43,0.59,0.00,0.00,0.00,0.23,17.35,greenhouse,65,1186,476,12,0.7085,0.2843,0.0072,3,125,5,611,lab,65,389,206,19,0.6336,0.3355,0.0309,3,125,5
611,1,91,62,0,35.47,7.93,0.07,11.07,0.35,0.00,0.00,0.00,0.00,11.49,greenhouse,91,443,1844,48,0.1897,0.7897,0.0206,4,181,1,611,lab,91,572,1887,102,0.2234,0.7368,0.0398,4,181,1
611,2,92,62,0,17.31,3.86,0.09,15.48,0.54,0.00,0.00,0.00,0.11,16.22,greenhouse,92,126,644,5,0.1626,0.831,0.0065,4,182,2,611,lab,92,180,211,6,0.4534,0.5315,0.0151,4,182,2
611,3,93,62,0,27.44,6.14,0.07,11.92,0.37,0.00,0.00,0.00,0.11,12.47,greenhouse,93,354,954,11,0.2684,0.7233,0.0083,4,183,3,611,lab,93,742,1940,67,0.2699,0.7057,0.0244,4,183,3
611,4,94,62,0,24.93,5.59,0.09,16.91,0.66,0.00,0.00,0.00,0.16,17.82,greenhouse,94,554,2927,130,0.1534,0.8106,0.036,4,184,4,611,lab,94,1034,1193,75,0.4492,0.5182,0.0326,4,184,4
611,5,95,62,0,21.35,4.93,0.10,16.99,0.52,0.00,0.00,0.00,0.18,17.78,greenhouse,95,640,1804,80,0.2536,0.7147,0.0317,4,185,5,611,lab,95,226,622,52,0.2511,0.6911,0.0578,4,185,5
611,1,121,65,0,31.34,7.07,0.07,11.07,0.36,0.00,0.00,0.00,0.00,11.50,greenhouse,121,117,1056,75,0.0938,0.8462,0.0601,5,241,1,611,lab,121,376,825,21,0.3077,0.6751,0.0172,5,241,1
611,2,122,65,0,16.51,3.7,0.19,17.01,0.57,0.00,0.00,0.00,0.00,17.77,greenhouse,122,175,1238,42,0.1203,0.8509,0.0289,5,242,2,611,lab,122,489,873,14,0.3554,0.6344,0.0102,5,242,2
611,3,123,65,0,25.98,5.93,0.07,11.27,0.38,0.00,0.00,0.00,0.00,11.72,greenhouse,123,809,3051,144,0.202,0.762,0.036,5,243,3,611,lab,123,463,664,48,0.394,0.5651,0.0409,5,243,3
611,4,124,65,0,31.24,6.76,0.07,12.89,0.50,0.00,0.00,0.00,0.18,13.64,greenhouse,124,715,1396,147,0.3167,0.6182,0.0651,5,244,4,611,lab,124,333,479,24,0.3983,0.573,0.0287,5,244,4
611,5,125,65,0,20.37,4.53,0.07,12.03,0.42,0.00,0.00,0.00,0.00,12.52,greenhouse,125,1189,2339,93,0.3284,0.646,0.0257,5,245,5,611,lab,125,210,417,20,0.3246,0.6445,0.0309,5,245,5
611,1,151,69,0,15.76,3.66,0.10,14.38,0.42,0.00,0.00,0.00,0.13,15.02,greenhouse,151,195,1156,46,0.1396,0.8275,0.0329,6,301,1,611,lab,151,299,841,42,0.253,0.7115,0.0355,6,301,1
611,2,152,69,0,24.56,5.64,0.08,13.47,0.37,0.00,0.00,0.00,0.07,13.99,greenhouse,152,126,1070,58,0.1005,0.8533,0.0463,6,302,2,611,lab,152,329,1073,121,0.216,0.7045,0.0794,6,302,2
611,3,153,69,0,28.88,6.32,0.08,12.89,0.38,0.00,0.00,0.00,0.07,13.42,greenhouse,153,673,3219,27,0.1717,0.8214,0.0069,6,303,3,611,lab,153,491,1405,13,0.2572,0.736,0.0068,6,303,3
611,4,154,69,10,26,5.95,0.08,11.72,0.39,0.00,0.00,0.00,0.07,12.26,greenhouse,154,625,1747,241,0.2392,0.6686,0.0922,6,304,4,611,lab,154,54,387,16,0.1182,0.8468,0.035,6,304,4
611,5,155,69,0,19.97,4.56,0.10,14.29,0.48,0.00,0.00,0.00,0.15,15.02,greenhouse,155,748,1524,66,0.3199,0.6518,0.0282,6,305,5,611,lab,155,207,1364,53,0.1275,0.8399,0.0326,6,305,5
611,1,181,72,10,17.91,4.17,0.13,12.04,0.34,0.00,0.00,0.00,0.06,12.57,greenhouse,181,122,1449,118,0.0722,0.8579,0.0699,7,361,1,611,lab,181,336,795,76,0.2784,0.6587,0.063,7,361,1
611,2,182,72,0,15.44,3.43,0.12,15.45,0.38,0.00,0.00,0.00,0.09,16.03,greenhouse,182,211,1947,55,0.0953,0.8798,0.0249,7,362,2,611,lab,182,260,874,49,0.2198,0.7388,0.0414,7,362,2
611,3,183,72,0,24.73,5.72,0.10,14.39,0.44,0.00,0.00,0.00,0.07,15.00,greenhouse,183,922,3811,266,0.1844,0.7624,0.0532,7,363,3,611,lab,183,470,751,37,0.3736,0.597,0.0294,7,363,3
611,4,184,72,10,18,3.97,0.11,15.42,0.46,0.00,0.00,0.00,0.08,16.08,greenhouse,184,872,3269,159,0.2028,0.7602,0.037,7,364,4,611,lab,184,430,667,38,0.3789,0.5877,0.0335,7,364,4
611,5,185,72,0,14.13,2.86,0.10,13.07,0.32,0.00,0.00,0.00,0.08,13.57,greenhouse,185,338,2336,82,0.1226,0.8476,0.0298,7,365,5,611,lab,185,446,698,46,0.3748,0.5866,0.0387,7,365,5
611,1,211,76,10,20.56,4.49,0.08,11.54,0.21,0.00,0.00,0.00,0.08,11.92,greenhouse,,,,,,,,,,,,,,,,,,,,,,
611,2,212,76,15,14.38,3.26,0.14,15.89,0.38,0.00,0.00,0.00,0.19,16.59,greenhouse,,,,,,,,,,,,,,,,,,,,,,
611,3,213,76,10,26.46,6.16,0.10,11.32,0.33,0.00,0.00,0.00,0.17,11.92,greenhouse,,,,,,,,,,,,,,,,,,,,,,
611,4,214,76,10,21.77,4.94,0.09,14.72,0.36,0.00,0.00,0.00,0.17,15.35,greenhouse,,,,,,,,,,,,,,,,,,,,,,
