day,location,flower_id,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized,var,rep,total_cbd,total_thc,total_cbg,total_c,total_thc_next_day
5,lab,65,313,825,25,0.2691,0.7094,0.0215,1416-3,1416-3-6,0.17216381177046,13.563953409291402,0.7630731631793701,14.499190384241233,
5,lab,66,237,1074,31,0.1766,0.8003,0.0231,805-12,805-12-7,12.822887170985219,4.320538870027,0.6904040222754001,17.833830063287618,
5,lab,67,338,733,14,0.3115,0.6756,0.0129,805-12,805-12-1,14.29977499098831,4.37978298802,1.05991070665194,19.73946868566025,
5,lab,68,641,1317,19,0.3242,0.6662,0.0096,1416-3,1416-3-2,0.30253465792025996,14.278779118936056,0.8210063487368701,15.402320125593185,
5,lab,69,1700,2988,78,0.3567,0.6269,0.0164,1416-3,1416-3-3,0.26501967666702,15.295088697080834,0.85551690947877,16.415625283226625,
5,lab,70,1407,2492,95,0.3523,0.6239,0.0238,805-12,805-12-4,12.95290759667103,4.328351570182,0.78021004349088,18.06146921034391,
5,lab,71,900,1816,60,0.3242,0.6542,0.0216,1416-3,1416-3-5,0.19864917762966,13.707006106896895,0.6679991756936701,14.573654460220224,
5,lab,72,1374,1865,37,0.4194,0.5693,0.0113,616,616-6,0.22901678743932,17.17017903612675,0.9076219947019801,18.30681781826805,
5,lab,73,503,1488,105,0.24,0.7099,0.0501,805-12,805-12-6,12.610833819327722,4.345028488378903,0.7372721224903501,17.693134430196974,
5,lab,74,1380,2267,50,0.3733,0.6132,0.0135,1416-3,1416-3-7,0.33825180890735995,15.590204228467176,0.97924524820155,16.907701285576085,
5,lab,75,1289,1781,26,0.4163,0.5753,0.0084,616,616-8,0.17665436782548,15.025219909015856,0.6685126746300001,15.870386951471335,
6,greenhouse,76,113,584,11,0.1596,0.8249,0.0155,1416-3,1416-3-1,0.16688632707144,14.199187221399836,0.71555668639848,15.081630234869756,
6,greenhouse,77,304,1240,7,0.196,0.7995,0.0045,616,616-3,0.20745470288438994,14.777499978258845,0.78617137242366,15.771126053566894,
6,greenhouse,78,114,552,28,0.1643,0.7954,0.0403,1416-3,1416-3-4,0.14945162830317,10.09090530079406,0.57257470898082,10.81293163807805,
6,greenhouse,79,46,790,34,0.0529,0.908,0.0391,805-12,805-12-5,12.17838662006004,4.245564116792107,0.742087083493008,17.166037820345156,
6,greenhouse,80,746,1524,28,0.3246,0.6632,0.0122,616,616-7,0.22205711157372,13.614101789076448,0.80610773870295,14.64226663935312,
6,greenhouse,81,368,1188,129,0.2184,0.705,0.0766,1416-3,1416-3-8,0.17861974193466001,10.168112292804697,0.5574523557781799,10.904184390517537,
6,greenhouse,82,554,1139,32,0.3212,0.6603,0.0186,805-12,805-12-1,10.20112841042865,4.28605767238,0.7441991806063499,15.231385263415,
6,greenhouse,83,335,1258,50,0.2039,0.7657,0.0304,805-12,805-12-2,11.336009871989068,4.310973147154,0.484904346420897,16.131887365563966,
6,greenhouse,84,1488,1311,36,0.5249,0.4624,0.0127,616,616-4,0.32282181449703,15.739044366053784,0.95730147890919,17.019167659460006,
6,greenhouse,85,1227,1394,57,0.4582,0.5205,0.0213,1416-3,1416-3-5,0.18495917182683,15.69560665240831,0.7950981759142499,16.67566400014939,
6,greenhouse,86,1567,1193,20,0.5637,0.4291,0.0072,616,616-6,0.21598949953044,16.235270716452288,0.8103025076391002,17.26156272362183,
6,greenhouse,87,625,1874,82,0.2422,0.7261,0.0318,805-12,805-12-6,12.551187117125071,4.299115187146,0.6289214412289229,17.479223745499993,
6,greenhouse,88,1070,1246,87,0.4453,0.5185,0.0362,1416-3,1416-3-7,0.18186594131187,13.467996578370883,0.72311169003633,14.372974209719082,
6,greenhouse,89,1453,1067,25,0.5709,0.4193,0.0098,616,616-8,0.18367089985673998,15.89798227386957,0.72455278025214,16.80620595397845,
6,greenhouse,90,183,2185,214,0.0709,0.8462,0.0829,805-12,805-12-8,11.531241900443879,4.315969845211,0.48603445249337995,16.33324619814826,
7,greenhouse,100,480,3646,156,0.1121,0.8515,0.0364,805-12,805-12-4,12.0732919037145,4.290221006680546,0.43879353033393,16.802306440728973,4.290221006680546
7,greenhouse,101,544,1506,68,0.2568,0.711,0.0321,1416-3,1416-3-5,0.155873079743166,13.074244262618421,0.436117400604,13.666234742965587,13.074244262618421
7,greenhouse,102,762,2111,86,0.2575,0.7134,0.0291,616,616-6,0.15387687831379498,14.383112852277652,0.5605746497679601,15.097564380359406,14.383112852277652
7,greenhouse,103,128,1967,486,0.0496,0.7621,0.1883,805-12,805-12-6,9.525713608602,4.210348320654241,0.35426027638437296,14.090322205640614,4.210348320654241
7,greenhouse,104,1061,1161,53,0.4664,0.5103,0.0233,1416-3,1416-3-7,0.150734220794865,12.370993534654202,0.6434271495792,13.165154905028267,12.370993534654202
7,greenhouse,105,1396,1988,67,0.4045,0.5761,0.0194,616,616-8,0.13000415981047198,14.22336242414318,0.5440872647037599,14.897453848657413,14.22336242414318
7,greenhouse,91,369,1272,52,0.218,0.7513,0.0307,616,616-1,0.135215291059083,15.093315645504637,0.62861420216286,15.85714513872658,15.093315645504637
7,greenhouse,92,653,1600,80,0.2799,0.6858,0.0343,616,616-2,0.13888734747318,15.857997079549127,0.68595419753397,16.682838624556275,15.857997079549127
7,greenhouse,93,358,1946,168,0.1448,0.7872,0.068,805-12,805-12-3,9.77179447333755,4.237400228881,0.34121309877253797,14.35040780099109,4.237400228881
7,greenhouse,94,1352,1877,81,0.4085,0.5671,0.0245,616,616-5,0.163774585616877,15.535559422543164,0.7388589576861,16.43819296584614,15.535559422543164
7,greenhouse,95,634,1395,172,0.2881,0.6338,0.0781,1416-3,1416-3-6,0.13093589051370003,12.128357751413459,0.66099601772802,12.920289659655179,12.128357751413459
7,greenhouse,96,142,1372,144,0.0856,0.8275,0.0869,805-12,805-12-7,11.837751401325871,4.359520378912,0.40088722261932,16.59815900285719,4.359520378912
7,greenhouse,97,219,2073,17,0.0948,0.8978,0.0074,805-12,805-12-1,12.02262577896429,4.355600740186,0.7519926609021599,17.13021918005245,4.355600740186
7,greenhouse,98,275,740,46,0.2592,0.6975,0.0434,1416-3,1416-3-2,0.16990845283232997,14.101338248589999,0.8190519439475701,15.090298645369899,14.101338248589999
7,greenhouse,99,730,1689,73,0.2929,0.6778,0.0293,1416-3,1416-3-3,0.17132073127325997,12.86733581599,0.69060014016741,13.72925668743067,12.86733581599
7,lab,100,1010,2532,325,0.2612,0.6548,0.084,805-12,805-12-4,12.0732919037145,4.290221006680546,0.43879353033393,16.802306440728973,
7,lab,101,1083,1845,110,0.3565,0.6073,0.0362,1416-3,1416-3-5,0.155873079743166,13.074244262618421,0.436117400604,13.666234742965587,
7,lab,102,1218,1824,73,0.391,0.5856,0.0234,616,616-6,0.15387687831379498,14.383112852277652,0.5605746497679601,15.097564380359406,
7,lab,103,784,1986,366,0.25,0.6333,0.1167,805-12,805-12-6,9.525713608602,4.210348320654241,0.35426027638437296,14.090322205640614,
7,lab,104,964,1548,66,0.3739,0.6005,0.0256,1416-3,1416-3-7,0.150734220794865,12.370993534654202,0.6434271495792,13.165154905028267,
7,lab,105,1234,1669,74,0.4145,0.5606,0.0249,616,616-8,0.13000415981047198,14.22336242414318,0.5440872647037599,14.897453848657413,
7,lab,91,1354,1953,66,0.4014,0.579,0.0196,616,616-1,0.135215291059083,15.093315645504637,0.62861420216286,15.85714513872658,
7,lab,92,1452,2023,43,0.4127,0.575,0.0122,616,616-2,0.13888734747318,15.857997079549127,0.68595419753397,16.682838624556275,
7,lab,93,542,1678,180,0.2258,0.6992,0.075,805-12,805-12-3,9.77179447333755,4.237400228881,0.34121309877253797,14.35040780099109,
7,lab,94,1256,1867,47,0.3962,0.589,0.0148,616,616-5,0.163774585616877,15.535559422543164,0.7388589576861,16.43819296584614,
7,lab,95,1103,1863,107,0.3589,0.6062,0.0348,1416-3,1416-3-6,0.13093589051370003,12.128357751413459,0.66099601772802,12.920289659655179,
7,lab,96,699,1716,204,0.2669,0.6552,0.0779,805-12,805-12-7,11.837751401325871,4.359520378912,0.40088722261932,16.59815900285719,
7,lab,97,807,1881,129,0.2865,0.6677,0.0458,805-12,805-12-1,12.02262577896429,4.355600740186,0.7519926609021599,17.13021918005245,
7,lab,98,1006,1563,122,0.3738,0.5808,0.0453,1416-3,1416-3-2,0.16990845283232997,14.101338248589999,0.8190519439475701,15.090298645369899,
7,lab,99,1528,2411,149,0.3738,0.5898,0.0364,1416-3,1416-3-3,0.17132073127325997,12.86733581599,0.69060014016741,13.72925668743067,
8,greenhouse,106,1047,1806,283,0.3339,0.5759,0.0902,1416-3,1416-3-1,0.11027991274617599,14.028708383511335,0.430259220504,14.56924751676151,14.028708383511335
8,greenhouse,107,2179,4669,228,0.3079,0.6598,0.0322,616,616-3,0.125187342415029,15.018564379010993,0.5636878295592601,15.707439550985281,15.018564379010993
